# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "miRNA_primary_transcript" "-g" "Name" "-a" "dps_104.gff3" "-o" "Dpse_miRNA_expression.tab" "dpse_female_1_t.sam" "dpse_female_2_t.sam" "dpse_male_1_t.sam" "dpse_male_2_t.sam" "SRR902010_t.sam" "SRR902011_t.sam" "SRR5461097_t.sam" "SRR5461098_t.sam" "SRR5461099_t.sam" 
Geneid	Chr	Start	End	Strand	Length	dpse_female_1_t.sam	dpse_female_2_t.sam	dpse_male_1_t.sam	dpse_male_2_t.sam	SRR902010_t.sam	SRR902011_t.sam	SRR5461097_t.sam	SRR5461098_t.sam	SRR5461099_t.sam
dps_1563	NC_046681.1	23101402	23101519	+	118	0	0	0	0	0	0	1	1	33
dps_1571	NC_046681.1	23342520	23342653	-	134	0	0	0	0	0	0	2	0	23
dps_1595	NC_046681.1	24365627	24365732	+	106	1	0	0	1	2	6	8	0	45
dps_1668	NC_046681.1	6461059	6461164	-	106	0	0	0	0	7	6	0	0	274
dps_1710	NC_046681.1	14120534	14120645	-	112	0	0	0	0	1	3	0	0	7
dps_1723	NC_046681.1	14898499	14898606	-	108	0	0	0	0	0	0	0	0	13
dps_18	NC_046681.1	5946154	5946263	-	110	0	0	1	12	5	2085	191	195	112
dps_187	NC_046681.1	22932633	22932744	+	112	0	0	0	0	8	22	2	1	140
dps_22	NC_046683.1	43806378	43806493	+	116	0	1	0	1	0	0	16	0	280
dps_222	NC_046680.1	8037445	8037552	+	108	0	0	0	0	1	16	29	0	55
dps_2346	NC_046679.1	10541758	10541875	+	118	0	0	0	0	0	0	0	0	0
dps_239	NC_046681.1	12142949	12143066	+	118	0	1	0	0	0	0	2	0	17
dps_2422	NC_046683.1	22410045	22410172	+	128	0	0	0	1	0	4	15	1	23
dps_243	NC_046681.1	18062552	18062679	+	128	0	0	0	0	2	0	22	0	79
dps_246	NC_046679.1	2708611	2708718	+	108	1	14	0	18	27	37	53	2	3102
dps_2466	NC_046683.1	19538148	19538263	-	116	0	1	0	0	0	0	0	0	17
dps_248	NC_046679.1	24781262	24781409	-	148	0	4	0	9	121	57	792	76	2647
dps_249	NC_046679.1	19276904	19277021	-	118	1	0	0	5	0	0	2	1	478
dps_250	NC_046679.1	15081717	15081834	+	118	0	0	0	0	0	0	8	0	46
dps_2525	NC_046683.1	5049390	5049493	-	104	0	0	0	0	4	0	0	0	2
dps_2543	NC_046683.1	4268430	4268549	-	120	0	0	0	0	5	20	5	0	356
dps_2568	NC_046683.1	2881822	2881935	-	114	0	0	0	0	0	0	2	0	30
dps_2595	NC_046683.1	1637872	1638005	-	134	0	0	0	0	0	0	0	0	16
dps_2613	NC_046683.1	17246568	17246683	+	116	13	15	13	28	153	238	12	54	4135
dps_2682	NC_046683.1	13792870	13793017	-	148	0	0	0	0	0	1	0	0	6
dps_27	NC_046681.1	25535844	25535975	+	132	0	0	0	5	0	1038	189	18	10
dps_2737	NC_046683.1	10564588	10564715	+	128	0	0	0	0	0	1	0	0	1
dps_2749	NC_046683.1	9887346	9887461	-	116	2	4	5	9	0	8	209	0	964
dps_2791	NC_046683.1	7150515	7150636	+	122	0	0	0	0	1	0	3	0	67
dps_297	NC_046679.1	2759534	2759645	+	112	0	0	0	0	0	0	0	0	2
dps_3	NC_046679.1	2566810	2566923	-	114	7	77	9	135	508	946	6265	393	40262
dps_30	NC_046681.1	25009407	25009520	-	114	0	0	0	0	0	0	0	0	0
dps_300	NC_046679.1	2726076	2726207	+	132	0	0	0	0	0	0	0	0	0
dps_31	NC_046681.1	25009409	25009514	-	106	0	0	0	0	0	0	0	0	0
dps_3115	NC_046683.1	52431797	52431828	+	32	0	0	0	0	0	2	0	0	1
dps_3187	NC_046683.1	55451703	55451792	-	90	0	0	0	0	0	0	0	0	0
dps_3339	NC_046683.1	63108291	63108404	-	114	0	0	0	0	0	0	1	0	36
dps_3340	NC_046683.1	63107645	63107762	-	118	0	0	0	0	0	0	1	0	20
dps_3362	NC_046683.1	61480737	61480860	+	124	0	0	0	0	0	1	1	0	0
dps_3414	NC_046683.1	9692734	9692841	+	108	0	0	0	0	0	0	0	0	0
dps_3416	NC_046683.1	9692731	9692840	+	110	0	0	0	0	0	0	0	0	0
dps_3417	NC_046683.1	9698725	9698834	+	110	0	0	0	0	0	0	0	0	0
dps_3418	NC_046683.1	9710089	9710200	+	112	0	0	0	0	5	145	55	0	11
dps_3420	NC_046681.1	6336837	6336950	+	114	0	0	2	3	1	4268	131	82	25
dps_350	NC_046679.1	4700354	4700493	+	140	0	0	0	0	5	8	1	0	11
dps_3529	NC_046682.1	641924	642031	+	108	0	0	0	0	0	0	1	0	21
dps_3582	NC_046683.1	1393335	1393456	-	122	0	0	0	0	0	0	0	0	8
dps_3602	NC_046683.1	66055192	66055445	-	254	0	5	0	18	1	406	241	42	1927
dps_3611	NC_046683.1	42598878	42598985	-	108	0	0	0	0	0	0	0	0	6
dps_3613	NC_046680.1	9104680	9104811	-	132	0	0	0	3	1	28	14	1	127
dps_37	NC_046683.1	9696091	9696202	+	112	0	0	0	0	0	0	0	0	0
dps_372	NC_046679.1	5849998	5850047	+	50	0	0	0	0	0	0	0	0	0
dps_3750	NC_046683.1	19581479	19581630	+	152	0	1	0	0	0	19	21	2	63
dps_3824	NC_046679.1	7651570	7651743	-	174	0	0	0	0	1	0	4	0	64
dps_3825	NC_046679.1	7651857	7652054	-	198	0	0	0	0	0	0	3	0	20
dps_3826	NC_046680.1	13537979	13538096	-	118	0	0	0	0	0	0	0	0	7
dps_3827	NC_046679.1	28069077	28069190	-	114	0	0	0	0	0	0	1	0	19
dps_3828	NC_046679.1	17038334	17038441	-	108	0	0	0	0	1	1	14	0	33
dps_3829	NC_046683.1	46892400	46892513	-	114	0	0	0	0	1	1	3	1	49
dps_3831	NC_046683.1	9707605	9707714	+	110	0	0	0	0	0	0	0	0	0
dps_3833	NC_046683.1	9700643	9700750	+	108	0	0	0	0	0	7	1	0	0
dps_3834	NC_046681.1	9810262	9810403	+	142	0	0	0	0	1	0	1	0	22
dps_3835	NC_046679.1	22033934	22034035	-	102	0	0	0	0	0	0	0	0	1
dps_3836	NC_046679.1	1705144	1705261	-	118	0	0	0	1	0	0	6	0	16
dps_3837	NC_046679.1	22813274	22813379	+	106	0	0	0	0	0	0	1	0	7
dps_3838	NC_046679.1	23359776	23359913	+	138	0	0	0	0	0	0	0	0	3
dps_3840	NC_046680.1	13113551	13113660	-	110	0	0	0	0	0	0	1	0	16
dps_3841	NC_046683.1	10408776	10408883	-	108	0	0	0	0	0	0	1	0	8
dps_3842	NC_046679.1	13802167	13802298	+	132	0	0	0	0	0	0	0	0	5
dps_3843	NC_046683.1	56989967	56990084	-	118	0	0	0	2	1	11	13	4	9
dps_3844	NC_046680.1	17355508	17355619	-	112	0	0	0	0	0	0	0	0	3
dps_3845	NC_046680.1	4160399	4160574	-	176	0	0	0	0	0	2	25	4	118
dps_3846	NC_046680.1	4439943	4440084	-	142	0	0	0	0	0	2	1	1	13
dps_3847	NC_046679.1	10432983	10433100	-	118	0	0	0	0	0	1	0	0	11
dps_3850	NC_046679.1	30804731	30804890	-	160	0	0	0	0	0	0	3	0	6
dps_3851	NC_046681.1	10383405	10383524	-	120	0	0	0	0	0	0	0	0	10
dps_3852	NC_046681.1	6472130	6472253	+	124	0	0	0	0	0	0	0	0	7
dps_3855	NC_046681.1	13087177	13087270	+	94	0	0	0	0	0	0	4	0	12
dps_391	NC_046679.1	6389452	6389573	+	122	0	0	0	0	0	0	0	0	1
dps_41	NC_046681.1	5946029	5946138	-	110	0	0	0	0	0	149	20	3	3
dps_42	NC_046683.1	40973403	40973524	-	122	0	0	0	1	0	36	2	3	10
dps_455	NC_046679.1	10541758	10541875	+	118	0	0	0	0	0	0	0	0	0
dps_463	NC_046679.1	10902644	10902749	-	106	0	0	0	0	0	0	3	0	72
dps_489	NC_046679.1	12719950	12720065	-	116	0	8	0	25	0	3	21	1	128
dps_522	NC_046679.1	13901447	13901572	-	126	0	0	0	0	0	0	7	0	23
dps_53	NC_046680.1	20719620	20719723	+	104	1	10	2	28	0	1	2	30	846
dps_55	NC_046683.1	9707984	9708091	+	108	0	0	1	0	0	92	45	5	41
dps_61	NC_046683.1	9706277	9706392	+	116	0	0	0	1	9	97	22	1	29
dps_62	NC_046683.1	9707605	9707714	+	110	0	0	0	0	0	0	0	0	0
dps_660	NC_046679.1	19981487	19981612	-	126	0	0	0	0	0	6	6	0	17
dps_7	NC_046680.1	11568325	11568430	+	106	78	156	54	315	1189	1195	835	271	10442
dps_706	NC_046679.1	23091511	23091620	+	110	0	0	0	0	3	5	5	0	13
dps_73	NC_046683.1	9707276	9707387	+	112	0	0	0	0	0	42	2	0	0
dps_76	NC_046683.1	48486249	48486370	-	122	0	0	0	0	1	0	5	0	22
dps_774	NC_046679.1	25504581	25504684	-	104	0	0	0	0	0	2	0	0	12
dps_776	NC_046679.1	25763025	25763130	-	106	0	0	0	0	0	0	1	0	8
dps_79	NC_046683.1	19270382	19270485	+	104	0	1	0	1	0	3	2	0	28
dps_794	NC_046679.1	26708759	26708902	-	144	0	0	0	0	0	1	2	0	17
dps_83	NC_046681.1	5944442	5944551	-	110	0	0	0	3	0	270	8	16	177
dps_856	NC_046679.1	29510259	29510370	-	112	0	0	0	0	0	0	0	1	6
dps_86	NC_046683.1	8195752	8195869	-	118	0	0	0	0	0	0	0	0	12
dps_87	NC_046679.1	8936692	8936809	-	118	0	1	0	3	0	8	7	2	146
dps_872	NC_046679.1	30355361	30355476	-	116	0	2	0	3	4	3	41	0	181
dps_88	NC_046680.1	15345552	15345653	+	102	0	0	0	0	0	0	23	2	70
dps_9	NC_046680.1	19418501	19418624	+	124	0	2	0	4	11	27	63	55	336
dps_91	NC_046683.1	41149697	41149808	+	112	0	0	0	0	6	1	0	0	43
dps_934	NC_046680.1	5072920	5073023	+	104	0	0	0	0	0	8	3	0	1
dps_956	NC_046680.1	5604192	5604237	-	46	0	0	0	0	0	2	0	0	3
dps_96	NC_046681.1	17412666	17412795	+	130	0	0	0	0	0	0	3	0	5
dps_998	NC_046680.1	7348848	7348959	-	112	0	0	0	0	0	0	8	0	4
dps-bantam	NC_046683.1	64631104	64631184	+	81	944	6022	635	9613	6948	10075	348223	10797	904121
dps-let-7	NC_046681.1	21485118	21485194	+	77	12	118	19	287	11715	34328	76869	372	176701
dps-mir-1	NC_046681.1	25707369	25707456	-	88	12	187	5	360	117868	110175	729135	78	2469718
dps-mir-10	NC_046679.1	20579805	20579881	+	77	122	1488	139	3366	2012	303	46305	4831	197520
dps-mir-100	NC_046681.1	21484265	21484364	+	100	0	1	0	1	116	107	155	3	1171
dps-mir-1000	NC_046679.1	22035532	22035622	-	91	5	47	2	119	1	0	1777	26	5679
dps-mir-1006	NC_046681.1	20903167	20903248	+	82	0	1	0	5	21	76	92	4	6885
dps-mir-1010	NC_046679.1	12623757	12623862	+	106	2	17	0	36	289	135	259	32	3759
dps-mir-11	NC_046679.1	24781962	24782032	-	71	47	957	25	1742	3696	3417	48193	3452	507010
dps-mir-12	NC_046683.1	21426542	21426615	-	74	66	277	76	705	1915	13499	5452	1913	131020
dps-mir-124	NC_046681.1	28800135	28800232	-	98	1	10	3	16	3	0	952	11	9947
dps-mir-125	NC_046681.1	21485468	21485577	+	110	3	34	3	67	118	553	1463	19	94526
dps-mir-133	NC_046681.1	25563773	25563868	-	96	3	50	6	179	0	2	6670	94	31309
dps-mir-137	NC_046680.1	20130574	20130684	-	111	0	0	1	5	7	6	450	2	1889
dps-mir-13a	NC_046679.1	10185305	10185378	+	74	0	3	0	9	2	1	293	0	3207
dps-mir-13b-1	NC_046679.1	10185457	10185525	+	69	0	0	0	1	0	3	2	0	32
dps-mir-13b-2	NC_046683.1	11096047	11096115	+	69	0	0	0	3	51	24	182	3	6396
dps-mir-14	NC_046680.1	19623233	19623295	+	63	397	1775	428	4015	7404	8394	7422	1117	1729455
dps-mir-184	NC_046680.1	4314020	4314119	+	100	151	4398	214	4400	869627	259823	173077	3862	823992
dps-mir-190	NC_046683.1	67070433	67070526	+	94	10	26	3	55	157	157	67	86	39337
dps-mir-193	NC_046683.1	45270046	45270147	-	102	0	27	0	27	2	15	47	21	279
dps-mir-210a	NC_046683.1	38870244	38870337	-	94	9	208	12	613	0	1	4495	180	8105
dps-mir-219	NC_046683.1	51974353	51974452	-	100	1	0	0	4	0	8	4	1	1573
dps-mir-2502	NC_046679.1	17001509	17001620	-	112	0	0	0	0	0	0	0	0	33
dps-mir-2506	NC_046680.1	12415930	12416046	+	117	0	9	2	12	1018	6246	1819	74	9757
dps-mir-2507a	NC_046680.1	12416262	12416369	+	108	0	0	0	1	25	79	7	5	888
dps-mir-2507b	NC_046680.1	12416418	12416534	+	117	1	5	0	3	93	658	284	6	2665
dps-mir-2508	NC_046681.1	22132547	22132653	-	107	0	0	0	1	56	40	3	0	25
dps-mir-2509	NC_046681.1	6336958	6337057	+	100	0	0	1	9	0	1290	247	39	24
dps-mir-2510	NC_046681.1	5946829	5946935	-	107	0	0	1	29	91	100050	746	19	222
dps-mir-2511-1	NC_046681.1	5945630	5945746	-	117	0	0	0	0	0	0	0	0	0
dps-mir-2513a	NC_046683.1	33702833	33702952	+	120	0	0	0	0	0	0	0	0	0
dps-mir-2513b	NC_046683.1	33702833	33702952	-	120	0	0	0	0	0	0	0	0	0
dps-mir-2517-3	NC_046683.1	9693700	9693802	+	103	0	0	0	0	0	0	0	0	1
dps-mir-2519	NC_046683.1	9732724	9732841	+	118	1	2	0	3	12	20	123	1	254
dps-mir-252	NC_046679.1	17099186	17099295	-	110	8	187	4	255	15	125	7642	28	133170
dps-mir-2520	NC_046683.1	9711102	9711221	+	120	0	0	2	21	3	604	30	8	48
dps-mir-2521	NC_046683.1	9710978	9711064	+	87	0	0	0	1	1	58	18	0	17
dps-mir-2522a	NC_046683.1	9707838	9707949	+	112	0	0	1	3	0	43	89	15	116
dps-mir-2522b	NC_046683.1	9710323	9710424	+	102	0	0	0	1	0	99	66	0	32
dps-mir-2523	NC_046683.1	9706750	9706863	+	114	0	1	1	9	7	2632	1362	32	249
dps-mir-2524	NC_046683.1	9692735	9692827	+	93	0	0	0	0	0	0	0	0	0
dps-mir-2525	NC_046683.1	64600142	64600252	+	111	0	0	0	0	0	0	1	0	8
dps-mir-2527	NC_046683.1	7982105	7982224	-	120	0	0	0	7	0	8073	849	25	46
dps-mir-2529	NC_046680.1	14677058	14677170	+	113	0	0	0	0	0	0	10	0	51
dps-mir-2535	NC_046683.1	1639789	1639908	-	120	0	13	0	14	9	48	31	7	3490
dps-mir-2536	NC_046683.1	9711368	9711478	+	111	0	2	4	32	1	1193	15	56	106
dps-mir-2537	NC_046683.1	9711233	9711312	+	80	0	1	1	1	9	791	29	2	51
dps-mir-2538	NC_046683.1	9710478	9710593	+	116	0	2	0	1	4	605	113	5	31
dps-mir-2541	NC_046683.1	9706086	9706193	+	108	0	0	0	0	6	2579	154	32	38
dps-mir-2542-3	NC_046683.1	9698737	9698821	+	85	0	0	0	0	0	0	0	0	0
dps-mir-2543a-1	NC_046683.1	9699091	9699206	+	116	0	0	0	0	0	0	0	0	0
dps-mir-2543a-2	NC_046683.1	9699091	9699206	+	116	0	0	0	0	0	0	0	0	0
dps-mir-2543b-2	NC_046683.1	9699830	9699945	+	116	0	0	0	0	0	0	0	0	0
dps-mir-2544	NC_046683.1	9695220	9695324	+	105	0	0	0	5	3	2376	222	8	95
dps-mir-2545a	NC_046683.1	16578294	16578411	+	118	0	0	0	0	0	0	0	0	0
dps-mir-2545b	NC_046683.1	16578294	16578410	+	117	0	0	0	0	0	0	0	0	0
dps-mir-2546	NC_046683.1	12802353	12802436	-	84	0	1	0	3	0	1	83	2	359
dps-mir-2547	NC_046683.1	38287205	38287290	-	86	0	0	0	0	0	0	0	0	5
dps-mir-2548	NC_046683.1	38351221	38351318	-	98	0	0	0	0	0	0	0	0	11
dps-mir-2550	NC_046680.1	22064503	22064614	-	112	0	0	0	1	0	4	2	0	370
dps-mir-2551	NC_046680.1	12414198	12414317	+	120	0	0	0	2	24	1034	585	7	580
dps-mir-2552	NC_046680.1	12414979	12415091	+	113	0	2	33	253	190	10228	1295	257	255
dps-mir-2554	NC_046680.1	12416074	12416190	+	117	0	6	0	3	39	719	418	136	3089
dps-mir-2555	NC_046680.1	20109233	20109294	+	62	1	2	0	2	0	0	1	1	86
dps-mir-2556	NC_046680.1	20697745	20697850	+	106	0	0	0	1	0	3	4	0	173
dps-mir-2557	NC_046679.1	839581	839672	+	92	2	10	1	14	6	12	46	2	472
dps-mir-2558-1	NC_046681.1	12142292	12142375	+	84	0	0	0	0	0	0	0	0	1
dps-mir-2558-2	NC_046681.1	12137927	12138020	+	94	0	0	0	0	0	0	2	3	52
dps-mir-2560	NC_046681.1	21859730	21859846	+	117	0	0	0	2	0	10	39	2	48
dps-mir-2562	NC_046681.1	8847258	8847321	+	64	0	0	0	2	0	4	6	1	301
dps-mir-2563	NC_046681.1	6336716	6336826	+	111	0	0	2	14	1	639	140	8	4
dps-mir-2564	NC_046681.1	7880251	7880359	-	109	0	0	0	1	21	16	17	0	207
dps-mir-2565	NC_046681.1	5967369	5967471	-	103	2	19	3	58	0	0	168	13	355
dps-mir-2566a-1	NC_046681.1	5945878	5945961	-	84	0	0	0	0	0	0	0	0	0
dps-mir-2568a	NC_046681.1	16095981	16096068	-	88	1	8	0	20	0	3	5239	19	4870
dps-mir-2568b	NC_046681.1	16134864	16134983	-	120	0	0	0	1	0	1	35	0	207
dps-mir-2569	NC_046681.1	16134724	16134814	-	91	0	10	0	10	3	57	1111	2	3698
dps-mir-2571	NC_046679.1	27518623	27518694	-	72	0	2	0	1	12	24	4	0	1526
dps-mir-2572	NC_046679.1	1796669	1796758	-	90	0	2	0	2	4	4	10	3	162
dps-mir-2574b	NC_046683.1	26685627	26685694	-	68	0	0	0	0	0	0	0	0	0
dps-mir-2575	NC_046679.1	15251161	15251280	+	120	8	90	13	225	17	105	37	730	23446
dps-mir-263a	NC_046681.1	25187759	25187850	+	92	279	1785	176	1772	476255	1367549	87979	5176	249562
dps-mir-263b	NC_046683.1	46111991	46112081	-	91	0	3	1	11	16	32	9506	2	663
dps-mir-274	NC_046683.1	52691329	52691425	-	97	3	213	13	414	8	1044	3750	276	46552
dps-mir-275	NC_046681.1	10612491	10612580	-	90	15	72	22	99	2165	2487	27189	73	158387
dps-mir-276a	NC_046683.1	51355465	51355563	+	99	1244	3434	917	5403	7619	25936	17796	6343	1532423
dps-mir-276b	NC_046683.1	51309767	51309865	+	99	206	444	236	1276	4	25	154	296	8286
dps-mir-276c	NC_046681.1	6348996	6349111	+	116	0	0	5	45	10	29194	316	417	225
dps-mir-277	NC_046679.1	5316219	5316318	-	100	589	945	784	2854	161	1128	77249	9552	2482601
dps-mir-278	NC_046680.1	23339855	23339952	-	98	3	95	1	200	224	821	245	437	34066
dps-mir-279	NC_046679.1	2568504	2568598	-	95	36	159	13	260	2857	2174	2473	342	121805
dps-mir-280	NC_046680.1	5849551	5849644	+	94	0	0	0	0	0	0	0	0	0
dps-mir-281-1	NC_046680.1	4058560	4058647	-	88	17	133	13	292	2	13	11012	1429	21159
dps-mir-281-2	NC_046680.1	4058356	4058446	-	91	105	1392	135	3485	80	169	39158	25622	140672
dps-mir-282	NC_046683.1	59646870	59646963	-	94	2	16	0	21	620	677	512	48	32763
dps-mir-283	NC_046683.1	21428481	21428577	-	97	4	95	5	67	4567	6260	511	304	84505
dps-mir-284	NC_046679.1	1942455	1942554	+	100	16	151	33	444	102	460	1557	1129	23633
dps-mir-285	NC_046683.1	44461102	44461201	-	100	5	56	4	114	21	3	264	42	927
dps-mir-286	NC_046680.1	16472217	16472313	-	97	0	0	0	3	3	25	17	26	8456
dps-mir-287	NC_046681.1	28791447	28791526	-	80	0	0	0	0	0	0	0	0	1
dps-mir-288	NC_046681.1	25560408	25560503	+	96	0	0	0	0	0	0	0	0	0
dps-mir-289	NC_046683.1	62329671	62329770	+	100	0	0	0	0	0	0	0	0	0
dps-mir-2a-1	NC_046681.1	15064456	15064529	+	74	0	3	0	2	2	5	182	7	640
dps-mir-2a-2	NC_046681.1	15065041	15065112	+	72	1	12	1	17	214	260	22738	37	33117
dps-mir-2b-1	NC_046681.1	21776080	21776156	+	77	0	4	0	0	39	28	8669	1	3977
dps-mir-2b-2	NC_046681.1	15064157	15064239	+	83	4	9	2	10	232	370	3225	73	15277
dps-mir-2c	NC_046679.1	10185065	10185167	+	103	0	0	0	1	0	0	21	2	1392
dps-mir-3	NC_046680.1	16472383	16472455	-	73	0	0	0	0	0	3	48	1	1030
dps-mir-304	NC_046683.1	21427151	21427238	-	88	0	4	0	31	368	5996	2480	44	49612
dps-mir-305	NC_046681.1	10612359	10612431	-	73	25	683	13	1059	4833	4857	3226	2236	396281
dps-mir-306	NC_046681.1	26309521	26309600	+	80	48	124	15	52	21692	6130	174	210	154439
dps-mir-307a	NC_046680.1	17893999	17894086	-	88	0	0	0	0	0	0	0	0	0
dps-mir-307b	NC_046680.1	17894001	17894085	+	85	0	0	0	0	0	0	0	0	0
dps-mir-308	NC_046680.1	20082201	20082262	-	62	0	7	0	8	104	45	775	28	3822
dps-mir-309	NC_046680.1	16472517	16472584	-	68	0	0	0	0	0	1	3	0	139
dps-mir-311	NC_046680.1	12415464	12415574	+	111	13	35	97	581	1154	5950	1153	327	14752
dps-mir-314	NC_046683.1	64903573	64903661	+	89	0	12	0	12	2	7	6163	26	256227
dps-mir-315	NC_046683.1	46622272	46622355	-	84	2	35	3	78	11	14	48	45	916
dps-mir-316	NC_046683.1	47067181	47067269	+	89	2	55	1	66	672	1095	1667	106	94349
dps-mir-317	NC_046679.1	5325657	5325746	-	90	170	1481	88	2042	268	594	9149	15914	667618
dps-mir-318	NC_046679.1	7628026	7628093	-	68	287	3078	2	5	25213	51	102	37	66685
dps-mir-31a	NC_046680.1	20228182	20228273	-	92	21	798	10	1215	3905	12390	47738	2199	131441
dps-mir-31b	NC_046683.1	9916847	9916935	+	89	3	45	4	87	35	7963	4047	386	9395
dps-mir-33	NC_046683.1	48493164	48493254	+	91	61	771	43	1240	1403	1086	7583	11163	225766
dps-mir-34	NC_046679.1	5315193	5315292	-	100	13	267	8	684	124	590	377566	749	2012592
dps-mir-375	NC_046681.1	23500202	23500290	+	89	7	80	8	315	179	46234	11872	1960	57276
dps-mir-4	NC_046680.1	16472055	16472135	-	81	0	0	0	0	0	7	4	0	2586
dps-mir-5	NC_046680.1	16471877	16471948	-	72	0	0	0	2	3	177	15	7	5159
dps-mir-6-1	NC_046680.1	16471735	16471814	-	80	0	0	0	0	0	0	0	0	48
dps-mir-6-2	NC_046680.1	16471584	16471666	-	83	0	0	0	0	0	5	1	0	7
dps-mir-6-3	NC_046680.1	16471441	16471520	-	80	0	0	0	0	0	0	3	0	85
dps-mir-7	NC_046680.1	12391382	12391469	-	88	0	8	0	10	667	2341	2331	0	44129
dps-mir-79	NC_046681.1	26309687	26309770	+	84	0	1	0	3	1868	1124	1952	1	18537
dps-mir-8	NC_046680.1	14955760	14955846	+	87	2166	10866	1724	20941	17657	41165	901494	36640	1355643
dps-mir-87	NC_046681.1	18048222	18048319	+	98	0	3	0	13	32	32	6320	5	3936
dps-mir-927	NC_046683.1	33825631	33825718	-	88	9	73	2	157	2108	258	96	61	4813
dps-mir-929	NC_046679.1	25591641	25591734	-	94	0	3	0	8	5	6	1957	2	1710
dps-mir-92a	NC_046679.1	24549955	24550048	-	94	7	82	0	7	1040	219	330	3	70603
dps-mir-92b	NC_046679.1	24545290	24545389	-	100	44	1461	8	85	1924	418	169	142	304931
dps-mir-92c	NC_046680.1	12415613	12415727	+	115	0	2	1	14	77	996	176	0	3164
dps-mir-932	NC_046681.1	14404825	14404942	+	118	1	14	5	48	0	25	284	28	2024
dps-mir-957	NC_046683.1	56464390	56464486	+	97	51	400	38	829	229	57	2335	231	11962
dps-mir-958	NC_046683.1	56301301	56301400	+	100	78	278	39	335	1	1	2334	101	235386
dps-mir-959	NC_046681.1	6336564	6336675	+	112	0	0	1	13	8	18248	2466	32	178
dps-mir-964	NC_046681.1	6337672	6337789	+	118	0	0	12	92	1	4773	372	16	396
dps-mir-965	NC_046681.1	10418871	10418961	-	91	1	4	0	3	57	84	110	1	29489
dps-mir-968	NC_046681.1	12994506	12994622	-	117	0	0	0	0	0	0	14	1	1541
dps-mir-969	NC_046683.1	38877171	38877282	-	112	0	1	1	2	0	1	8	3	65
dps-mir-970	NC_046683.1	41773433	41773520	-	88	38	92	43	140	254	482	7158	174	27035
dps-mir-971	NC_046683.1	38301433	38301526	-	94	0	1	0	3	0	0	6	0	269
dps-mir-980	NC_046683.1	14140956	14141063	+	108	0	6	0	7	3	45	4145	4	4825
dps-mir-981	NC_046683.1	40815572	40815660	+	89	3	20	6	38	0	1	19	13	5612
dps-mir-986	NC_046680.1	5989116	5989207	+	92	2	55	6	133	475	1658	1834	647	14515
dps-mir-987	NC_046680.1	13001963	13002075	-	113	27	52	28	184	2	152	1943	124	1911
dps-mir-988	NC_046680.1	4043301	4043405	-	105	1	3	1	7	170	152	423	7	14384
dps-mir-989	NC_046680.1	6414744	6414863	-	120	17	390	0	0	418364	4044	24974	20	765745
dps-mir-993	NC_046679.1	20613840	20613953	-	114	7	37	11	85	8	5	710	313	12139
dps-mir-994	NC_046679.1	7628178	7628284	-	107	48	375	0	1	37909	92	28	5	29397
dps-mir-995	NC_046679.1	6219831	6219915	+	85	17	795	42	446	317	160	1403	5739	106246
dps-mir-9a	NC_046683.1	61525386	61525463	-	78	23	156	21	376	368	8276	31328	1204	163041
