OrthDme	Row.names	Chr	Start	End	Strand	Muller	DpsSpecific	baseMean.x	log2FoldChange.x	padj.x	baseMean.y	log2FoldChange.y	padj.y	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
12	dme-mir-1	dps-mir-1	NC_046681.1	25707369	25707456	-	4_B	no	52.404089166356	-0.366431802590333	0.744894465396446	290301.57653218	0.167617072423133	0.99673247124763	15104.0910238518	0.466789824207137	0.186768966063474	2.49929008039001	0.0124442401160695	0.0535864217242993
13	dme-mir-10	dps-mir-10	NC_046679.1	20579805	20579881	+	2_E	no	557.932130948532	0.197090684548486	0.625732952001744	33547.2167394887	0.883866185550669	0.639464380589073	609.540948786689	0.153523886117464	0.209846296031978	0.731601600888246	0.464411770834261	0.861735100733836
14	dme-mir-100	dps-mir-100	NC_046681.1	21484265	21484364	+	4_B	no	0.150036888356946	-0.638163060149078	NA	93.5338061049716	-0.675773133617927	0.904977063653595	70.6613951762951	-0.152887947454258	0.600557252450776	-0.2545768065082	0.799049974800724	0.949346192132431
15	dme-mir-1000	dps-mir-1000	NC_046679.1	22035532	22035622	-	2_E	no	17.1155071129146	-0.150012918851437	0.94159688492823	768.129859219147	0.456807574579204	0.967258143895345	29.7474657850808	0.0709032891603734	0.671272713005772	0.105625162153379	0.915879759913698	0.985762372302841
16	dme-mir-1003	dps_246	NC_046679.1	2708611	2708718	+	2_E	no	3.21974455925236	-0.885433242348697	0.739584806446855	132.556521159358	-3.38526436118212	0.134375085124055	137.873350004943	-0.439502871010402	0.37022388606147	-1.18712726962579	0.235177423446098	0.647108634048534
17	dme-mir-1006	dps-mir-1006	NC_046681.1	20903167	20903248	+	4_B	no	0.352139524845576	1.00773281841137	NA	285.918342032764	-3.72070675992425	0.0916430338806528	19.3523282981378	0.164829776587477	0.770794910374659	0.213843882943336	0.83066880275761	0.949346192132431
18	dme-mir-1010	dps-mir-1010	NC_046679.1	12623757	12623862	+	2_E	no	5.34486559692204	-0.564636390578439	0.787943693991422	297.815433486552	-0.755249163014532	0.864755066946424	38.2853436978435	0.243856099077432	0.572855856591079	0.425684919289398	0.67033745241765	0.935726766837631
19	dme-mir-1014	dps_250	NC_046679.1	15081717	15081834	+	2_E	no	0	NA	NA	3.86717569959788	-0.180101005353911	0.99673247124763	11.4209460790022	0.777081836238962	0.84578025036695	0.918775102518435	0.358213217733757	0.771254989202273
20	dme-mir-1017	dps_249	NC_046679.1	19276904	19277021	-	2_E	no	1.16975378137727	1.22086631871652	0.744894465396446	20.684083579194	-3.9512311153587	0.190696145516116	13.1172024049295	1.42076044046773	0.840233981683747	1.6909104742713	0.0908539025050771	0.294925745054943
21	dme-mir-11	dps-mir-11	NC_046679.1	24781962	24782032	-	2_E	no	249.356573330896	-0.456791205517441	0.64435365986701	41375.9761860897	-0.673565653845825	0.772752010580899	2342.29273838261	-0.234372446585434	0.205759613140005	-1.13905952197703	0.254678328982715	0.688937530966062
22	dme-mir-12	dps-mir-12	NC_046683.1	21426542	21426615	-	XL_A	no	193.646824271141	0.30158601465725	0.625732952001744	11650.5144254357	-0.458878862450619	0.904977063653595	8952.62613795812	1.22484502340286	0.234171698339638	5.23054251255575	1.69013302048124e-07	2.22886292075964e-06
23	dme-mir-124	dps-mir-124	NC_046681.1	28800135	28800232	-	4_B	no	5.4810960358345	0.233638661651923	0.919539975975387	653.240724182119	-1.28756667860547	0.772752010580899	1386.02523340478	0.675489513396274	0.195842052616651	3.4491545833545	0.00056234467670456	0.00296636816961656
24	dme-mir-125	dps-mir-125	NC_046681.1	21485468	21485577	+	4_B	no	12.2804251242324	0.00183723274584857	0.998002896191197	3878.96250245534	-3.89876972553394	0.068972578397247	1734.08610266504	0.529159670600347	0.189327723380568	2.7949402293117	0.00519093115223329	0.0233039675132176
25	dme-mir-133	dps-mir-133	NC_046681.1	25563773	25563868	-	4_B	no	22.2919263254363	0.898997086973769	0.424566102845896	3234.86382039577	-0.108034335002725	0.99673247124763	371.547074739181	0.577645702207807	0.22640300895463	2.55140470471205	0.0107289660238782	0.0471627464799645
26	dme-mir-137	dps-mir-137	NC_046680.1	20130574	20130684	-	3_C	no	1.17277753286599	3.1960530211353	0.290520549609191	197.888863753342	-0.0532646323505423	0.99673247124763	17.7072124290848	0.7800326848143	0.774865496896042	1.0066684965829	0.314094106043086	0.759857452485008
27	dme-mir-13a	dps-mir-13a	NC_046679.1	10185305	10185378	+	2_E	no	0.753264619803784	0.50878165176705	NA	196.753867916297	-1.48922594558012	0.772752010580899	43.8608442672856	0.58766284122732	0.65059065973715	0.903275865449323	0.366379502222721	0.780869444131255
28	dme-mir-13b-1	dps-mir-13b-1	NC_046679.1	10185457	10185525	+	2_E	no	0.0505256591221574	0.825985212707861	NA	1.70907044802626	-1.10553080983012	0.904977063653595	125.735991459816	-1.90214358968878	0.524405960979959	-3.62723487378793	0.000286472684836684	0.00173566817218811
29	dme-mir-13b-2	dps-mir-13b-2	NC_046683.1	11096047	11096115	+	XL_A	no	0.151576977366472	1.8937601282852	NA	290.154129121459	-2.93411199098842	0.240205989025263	22.9045031160639	-1.40181312435298	0.721886768665983	-1.94187396860518	0.0521523594564215	0.195268974071033
30	dme-mir-14	dps-mir-14	NC_046680.1	19623233	19623295	+	3_C	no	1137.41564466173	0.162617305522501	0.47000409538692	67820.2900896785	-4.59083855263512	0.000173774972688509	20608.8356289482	0.165920784663133	0.252093722829188	0.65817102782665	0.510428239310407	0.897792601378848
31	dme-mir-184	dps-mir-184	NC_046680.1	4314020	4314119	+	3_C	no	995.361171435447	-0.252323566345214	0.787943693991422	88379.8612078731	-0.0273907717585826	0.99673247124763	2817.42028021726	-0.867587557987056	0.182989117100144	-4.74119757358166	2.12458618592912e-06	2.35940886963708e-05
32	dme-mir-190	dps-mir-190	NC_046683.1	67070433	67070526	+	XR_D	no	17.2979057812536	-0.615391791321231	0.744894465396446	1685.81000569884	-3.45790779866653	0.194016475059617	53.8329104312829	-0.00304155131594687	0.545897228796574	-0.00557165553423296	0.995554485071745	0.995554485071745
33	dme-mir-193	dps-mir-193	NC_046683.1	45270046	45270147	-	XR_D	no	4.05099598563755	-0.833219285212472	0.744894465396446	82.3819087931624	1.79789444751308	0.575280316737845	26.0234762308958	-0.932957922406608	0.657626568740037	-1.41867431572007	0.155993988590238	0.457149049896391
34	dme-mir-210	dps-mir-210a	NC_046683.1	38870244	38870337	-	XR_D	no	70.9664849416794	0.548298275023958	0.366826908870913	2039.15841018554	1.57373555836717	0.611433409415527	81.6577865877942	-0.146813439985799	0.458754568293839	-0.320026110108973	0.748948537579366	0.935726766837631
35	dme-mir-219	dps-mir-219	NC_046683.1	51974353	51974452	-	XR_D	no	1.11922812225511	1.01398703314938	0.78585093050724	60.8829073971608	-5.18439861327479	0.0299554332448495	54.1096512530791	0.75820789682781	0.55807322824375	1.35861721805556	0.174267916232716	0.503705894864426
36	dme-mir-252	dps-mir-252	NC_046679.1	17099186	17099295	-	2_E	no	42.5102437782083	-0.623287893401512	0.440921328489324	7004.08685827512	-2.14180719495234	0.474132253143725	3189.71859641227	0.872557920238935	0.175741198292771	4.96501633490244	6.86952877636807e-07	8.52629748125684e-06
37	dme-mir-2535b	dps-mir-2535	NC_046683.1	1639789	1639908	-	XL_A	no	2.00100520776246	-0.741379081066527	0.755844464407079	154.680981669399	-3.22835809132352	0.147311511428923	1.0573624884559	0.254209990968698	2.35238945761116	0.108064585201316	0.913944460511554	0.985762372302841
38	dme-mir-263a	dps-mir-263a	NC_046681.1	25187759	25187850	+	4_B	no	684.983288434325	-0.83889492160017	0.0010388314430987	47875.1243663121	1.10378870381149	0.557813525135096	720.843833832142	0.100057835953218	0.188887212826545	0.529722655419245	0.596304237748465	0.935726766837631
39	dme-mir-263b	dps-mir-263b	NC_046683.1	46111991	46112081	-	XR_D	no	1.7744651753033	1.20490847566433	0.64435365986701	2645.68521279024	5.77192861447469	0.0458189490038441	121.191374322109	-0.281878460712268	0.381762059204703	-0.738361641540505	0.460294717555877	0.861735100733836
40	dme-mir-274	dps-mir-274	NC_046683.1	52691329	52691425	-	XR_D	no	56.8268312452003	0.698247112365793	0.625732952001744	3497.54214967471	-0.895195475131156	0.808699226506683	259.410922420601	0.971860572967582	0.270074735516798	3.59848754867016	0.000320073171572661	0.00187598442227309
41	dme-mir-275	dps-mir-275	NC_046681.1	10612491	10612580	-	4_B	no	46.1670142641101	-0.0747226884712949	0.94159688492823	13423.6127219176	-0.576385231167803	0.904977063653595	199.834896164844	-1.09969378762771	0.287200690499096	-3.82900816051894	0.000128660741120012	0.000921745925450342
42	dme-mir-276a	dps-mir-276a	NC_046683.1	51355465	51355563	+	XR_D	no	2599.39265228581	-0.374819269466398	0.000605720273068233	78309.4666237935	-2.28192978177404	0.147311511428923	10013.4924658387	0.805971180405621	0.183359612033716	4.39557638384084	1.10479204931639e-05	0.000116555561202879
43	dme-mir-276b	dps-mir-276b	NC_046683.1	51309767	51309865	+	XR_D	no	514.736796880242	0.381548880627322	0.402909587182902	1178.89286939866	0.54712677628229	0.94976947232247	90.5614217951292	0.447408498271997	0.429201043600417	1.04242173904994	0.29721619199108	0.730107309333745
44	dme-mir-277	dps-mir-277	NC_046679.1	5316219	5316318	-	2_E	no	1499.82225588605	0.521851088706385	0.000616883015697304	138143.952403249	-1.89760022781086	0.199536601675289	12274.398809367	0.49060538355214	0.220087758144356	2.2291352671708	0.0258049060026769	0.104708368587785
45	dme-mir-278	dps-mir-278	NC_046680.1	23339855	23339952	-	3_C	no	23.2302242962911	-0.218453127959474	0.888041296094245	2535.85597336068	-0.924219290712433	0.864755066946424	1186.26836003766	-0.0934168022684257	0.247761122497706	-0.377043828856928	0.706141033717994	0.935726766837631
46	dme-mir-279	dps-mir-279	NC_046679.1	2568504	2568598	-	2_E	no	73.9374143920033	-0.750179498234828	0.402909587182902	6057.43579773662	-2.42183590957887	0.190696145516116	2762.69354357013	-0.899663402279445	0.250633812170932	-3.58955319909461	0.000331245227878118	0.00188899305627792
47	dme-mir-281-1	dps-mir-281-1	NC_046680.1	4058560	4058647	-	3_C	no	55.5415592942447	-0.00351229654979584	0.998002896191197	7834.92727076355	2.20561270469318	0.199536601675289	28.0456297792675	0.705936663006112	0.708657545739187	0.9961605111673	0.319172162697065	0.759857452485008
48	dme-mir-281-2	dps-mir-281-2	NC_046680.1	4058356	4058446	-	3_C	no	535.119876170478	0.354565375914186	0.290520549609191	88276.7913770906	3.02948593757113	0.064422548313287	220.361768070655	0.642298452919785	0.284510905402384	2.25755301720819	0.0239735406004443	0.099184648366544
49	dme-mir-282	dps-mir-282	NC_046683.1	59646870	59646963	-	XR_D	no	4.48746948085489	-1.07997256013337	0.625732952001744	1462.85050121761	-3.10050526094178	0.17839932659357	950.592049731768	-0.709957702409379	0.185635599079346	-3.82446958412283	0.000131053923049812	0.000921745925450342
50	dme-mir-283	dps-mir-283	NC_046683.1	21428481	21428577	-	XL_A	no	21.1080340678314	-0.844492471116329	0.625732952001744	4059.53025340042	-2.61759361847841	0.268226960238927	48.7921096774807	-0.677011541335527	0.548028870563979	-1.23535743771822	0.216697505812689	0.609642316353033
51	dme-mir-284	dps-mir-284	NC_046679.1	1942455	1942554	+	2_E	no	82.4985208663764	0.724410651020254	0.0997654942546908	4474.72368257405	1.07930466685498	0.772752010580899	354.623354657267	0.667739878453662	0.232231222533231	2.87532344346209	0.00403613804336244	0.0189250028255439
52	dme-mir-285	dps-mir-285	NC_046683.1	44461102	44461201	-	XR_D	no	19.5987783549273	-0.0561039318964051	0.966732124992951	224.908361479723	1.50418018402121	0.611433409415527	127.928149678394	-0.648948414775866	0.361646736238372	-1.79442629989097	0.0727451522647042	0.251626674227091
53	dme-mir-286	dps-mir-286	NC_046680.1	16472217	16472313	-	3_C	no	0.151576977366472	1.8937601282852	NA	384.333659881578	-3.01139803704019	0.288639409470383	6.06056378389007	-2.43961780326108	1.25950942820203	-1.93695874650472	0.0527503863604211	0.195268974071033
54	dme-mir-2a-1	dps-mir-2a-1	NC_046681.1	15064456	15064529	+	4_B	no	0.399585005948682	-1.23354407948243	NA	93.0412555790066	0.621430545214314	0.904977063653595	29.2914443229421	0.427473741193987	0.626992355707021	0.681784613963836	0.495375154625213	0.885797945982372
55	dme-mir-2a-2	dps-mir-2a-2	NC_046681.1	15065041	15065112	+	4_B	no	3.89034567891583	-0.386451544684413	0.835731216883463	7561.12117073399	1.40816036272034	0.730409765019199	827.306195569702	-0.402314180410801	0.230043947553358	-1.74885792340824	0.0803155813644745	0.273332059159744
56	dme-mir-2b-1	dps-mir-2b-1	NC_046681.1	21776080	21776156	+	4_B	no	0.398044916939156	-3.35865757630693	NA	2532.51431104646	3.05301248152097	0.440426497303677	10.5815163962744	-0.445355253341899	0.932704124137856	-0.47748824285897	0.633014490973558	0.935726766837631
57	dme-mir-2b-2	dps-mir-2b-2	NC_046681.1	15064157	15064239	+	4_B	no	6.909658071911	-0.883178401545331	0.625732952001744	1646.96672970068	-0.0138472815457392	0.99673247124763	30.7125208586233	-0.673252422140351	0.633438358097384	-1.06285388867601	0.287848216918617	0.730107309333745
58	dme-mir-2c	dps-mir-2c	NC_046679.1	10185065	10185167	+	2_E	no	0.0505256591221574	0.825985212707861	NA	61.8334781516256	-3.13693976191584	0.194016475059617	15.8067326944005	0.168812477058709	0.805171640235609	0.209660237175407	0.833932861855733	0.949346192132431
59	dme-mir-3	dps-mir-3	NC_046680.1	16472383	16472455	-	3_C	no	0	NA	NA	53.330319481099	-2.08850798975915	0.52333968675761	3.06742701526807	-1.65658955205067	1.53260415966406	-1.08089850964112	0.27974226167077	0.730107309333745
60	dme-mir-304	dps-mir-304	NC_046683.1	21427151	21427238	-	XL_A	no	1.96434034972604	1.63876712398685	0.496210108675752	2603.21407663395	-2.1506763992246	0.468676861537182	129.272654957027	0.413961856212638	0.349432732068487	1.18466823002575	0.236148648444252	0.647108634048534
61	dme-mir-305	dps-mir-305	NC_046681.1	10612359	10612431	-	4_B	no	156.362919806205	-0.524157296720887	0.402909587182902	21555.4464084043	-1.99437811845851	0.288639409470383	2516.54533993077	0.152948690444689	0.190658677271872	0.802212061015139	0.422430300779617	0.857046091004799
62	dme-mir-306	dps-mir-306	NC_046681.1	26309521	26309600	+	4_B	no	72.7909885750851	-2.01779081426151	7.20444808454312e-07	6233.36027475465	-4.13112024439566	0.0454415748015533	201.64594332102	-1.45681738447055	0.338219675249623	-4.30731116809024	1.65251064137712e-05	0.000154072549459401
63	dme-mir-307a	dps-mir-307a	NC_046680.1	17893999	17894086	-	3_C	no	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
64	dme-mir-307b	dps-mir-307b	NC_046680.1	17894001	17894085	+	3_C	no	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
65	dme-mir-308	dps-mir-308	NC_046680.1	20082201	20082262	-	3_C	no	1.10078387762078	-0.6707288058327	0.785014367187558	430.794569395603	0.0864538865925239	0.99673247124763	227.808825135104	-0.872087322310713	0.285983625990156	-3.0494309570742	0.00229275326292817	0.0112512910494814
66	dme-mir-309	dps-mir-309	NC_046680.1	16472517	16472584	-	3_C	no	0	NA	NA	5.85858926250468	-2.82404738142827	0.52333968675761	1.54549146415087	-4.49950599985505	2.35421652176585	-1.91125410864081	0.0559719334294302	0.203622033682927
67	dme-mir-311	dps-mir-92c	NC_046680.1	12415613	12415727	+	3_C	no	1.82653092343499	1.97169845796966	0.402909587182902	162.998796014025	-2.17881301879141	0.557813525135096	408.741110354962	-3.52420670097831	0.262946569303973	-13.4027483617945	5.826487845265e-41	2.45877787070183e-39
68	dme-mir-312	dps-mir-311	NC_046680.1	12415464	12415574	+	3_C	no	134.01540830191	3.0121075022283	8.69355495474947e-18	1775.54515277242	0.214762142686261	0.995289915640936	513.89471357783	-3.65008979401355	0.247845788394307	-14.7272617285975	4.30811419157167e-49	2.27253023605406e-47
69	dme-mir-314	dps-mir-314	NC_046683.1	64903573	64903661	+	XR_D	no	1.80044266028336	-0.83400707776509	0.744894465396446	11047.1409141518	-3.3875177110988	0.099976089479672	152.88501891134	0.262878778839907	0.362474205498242	0.72523444386495	0.46830821548587	0.861735100733836
70	dme-mir-315	dps-mir-315	NC_046683.1	46622272	46622355	-	XR_D	no	12.0185931180445	0.278561500356923	0.849449290785	173.545335619471	1.05653242613132	0.8114885169684	2.9718386406884	0.528859191680021	1.5189019114729	0.348185217021144	0.727701089122231	0.935726766837631
71	dme-mir-316	dps-mir-316	NC_046683.1	47067181	47067269	+	XR_D	no	11.5622113187639	-0.765435735449517	0.666834253083225	4174.55348098292	-3.1697068070066	0.0945338355673662	271.405174925781	0.0590167305615114	0.289951261821982	0.203540174961353	0.838712847737682	0.949346192132431
72	dme-mir-317	dps-mir-317	NC_046679.1	5325657	5325746	-	2_E	no	487.433991882928	-0.707051342767459	0.0666622670272784	71663.8310287148	-0.025902122000138	0.99673247124763	4961.36500735263	0.638466937493706	0.204835145721812	3.11697943848372	0.00182714315225775	0.00940310256405819
73	dme-mir-318	dps-mir-318	NC_046679.1	7628026	7628093	-	2_E	no	571.603504769781	-9.08129557815538	1.25637983409879e-16	2547.20234574298	-5.20812703716573	0.00723203344788259	3761.64390241237	-8.24411044877456	0.861051506354356	-9.57446841209263	1.02382629657519e-21	2.40030387308182e-20
74	dme-mir-31a	dps-mir-31a	NC_046680.1	20228182	20228273	-	3_C	no	169.259764336431	-0.573517633311072	0.402909587182902	24110.9858011905	1.02386987616362	0.611433409415527	735.036545639616	0.260494065564158	0.196339805944016	1.32675116139432	0.184591010870697	0.526333828293473
75	dme-mir-31b	dps-mir-31b	NC_046683.1	9916847	9916935	+	XL_A	no	15.3057110655135	0.0963055554019652	0.94159688492823	2544.72943210719	1.69615117403632	0.552541219892015	216.38905208917	0.471312621325329	0.31907351841102	1.47712860557171	0.139641166934919	0.420918374618114
76	dme-mir-33	dps-mir-33	NC_046683.1	48493164	48493254	+	XR_D	no	234.886046885227	-0.37650465891201	0.554160976239526	41807.8284983311	1.04048084449203	0.757222357275758	197.727833750473	-0.310407241088346	0.289355200487671	-1.07275501033054	0.283381051388005	0.730107309333745
77	dme-mir-34	dps-mir-34	NC_046679.1	5315193	5315292	-	2_E	no	80.4128742582502	0.0614887388198717	0.94159688492823	178895.014487521	-0.459024538061612	0.94976947232247	14232.054828101	0.273560528839812	0.188476031557542	1.45143404484454	0.146659035466535	0.435845865963928
78	dme-mir-375	dps-mir-375	NC_046681.1	23500202	23500290	+	4_B	no	37.6575532606697	0.772721498787068	0.402909587182902	10879.9349683341	1.08587004905735	0.61691256711669	312.692688482289	0.663789738878536	0.281252179144949	2.36012300738989	0.0182688762843328	0.0770946579198844
79	dme-mir-4	dps-mir-4	NC_046680.1	16472055	16472135	-	3_C	no	0	NA	NA	94.7362575460903	-6.69253323694986	0.00338296851330476	1.02834864678709	-1.10348628002708	2.17316858608428	-0.507777577447591	0.611609336363168	0.935726766837631
80	dme-mir-5	dps-mir-5	NC_046680.1	16471877	16471948	-	3_C	no	0.101051318244315	1.49422037078909	NA	210.709994037339	-4.09505965866313	0.064422548313287	0.97684823329224	-1.36183881315646	2.21402374580926	-0.615096751213337	0.538490827460305	0.93132429995184
81	dme-mir-6-1	dps-mir-6-1	NC_046680.1	16471735	16471814	-	3_C	no	0	NA	NA	1.73801332244323	-3.33457024510603	0.585573025944779	0.0515004134948514	0.748465477886573	4.941919882417	0.151452369867338	0.879618880682148	NA
82	dme-mir-6-2	dps-mir-6-2	NC_046680.1	16471584	16471666	-	3_C	no	0	NA	NA	0.528657726055027	0.55134651286271	NA	0	NA	NA	NA	NA	NA
83	dme-mir-6-3	dps-mir-6-3	NC_046680.1	16471441	16471520	-	3_C	no	0	NA	NA	3.90332427475605	-2.12087257162521	0.712355040014733	0	NA	NA	NA	NA	NA
84	dme-mir-7	dps-mir-7	NC_046680.1	12391382	12391469	-	3_C	no	1.30134642509989	-0.561248864366185	0.806260698953752	2239.33504534658	-2.31574281963503	0.904977063653595	248.28271338673	-0.800579227949574	0.269054717920033	-2.9755257002686	0.00292486841174594	0.0140260735199635
85	dme-mir-79	dps-mir-79	NC_046681.1	26309687	26309770	+	4_B	no	0.251088206601261	0.444864603096412	NA	1211.21041477508	-1.30894620072082	0.818560460624985	386.025684924212	-1.3067525581095	0.245834428949686	-5.31557993602656	1.06318162931506e-07	1.49554215856985e-06
86	dme-mir-8	dps-mir-8	NC_046680.1	14955760	14955846	+	3_C	no	5712.17793174048	-0.17421745163542	0.496210108675752	400718.438631816	1.84070985911281	0.407210092558816	9051.05471116569	0.350488531818964	0.236308099863057	1.48318458834918	0.138025374733462	0.420918374618114
87	dme-mir-87	dps-mir-87	NC_046681.1	18048222	18048319	+	4_B	no	0.955367256292413	0.951391615296315	0.744894465396446	1895.89483897361	2.62254184014067	0.510127122940897	194.449246170891	0.251153513707219	0.3224107586073	0.778986144234494	0.435987876797314	0.861735100733836
88	dme-mir-927	dps-mir-927	NC_046683.1	33825631	33825718	-	XR_D	no	25.291276062727	-0.669642694306317	0.744894465396446	373.075332657659	-0.825558620944615	0.864755066946424	29.4855179543113	0.0217735351284226	0.630397317340319	0.0345393841780393	0.972447037038978	0.995554485071745
89	dme-mir-929	dps-mir-929	NC_046679.1	25591641	25591734	-	2_E	no	0.702738960681626	0.366350616433096	NA	606.130079352207	2.14067137755455	0.611433409415527	23.0377523952563	0.391230683642041	0.689104443312043	0.567737862437323	0.570212978074721	0.935726766837631
90	dme-mir-92a	dps-mir-92a	NC_046679.1	24549955	24550048	-	2_E	no	14.9334788114732	-4.66572126581755	8.48791099054431e-05	2655.72963074554	-5.65243066126204	0.00723203344788259	648.852433734874	-4.52424816429289	0.244846976037	-18.4778600802862	3.11284834512938e-76	2.189370002741e-74
91	dme-mir-92b	dps-mir-92b	NC_046679.1	24545290	24545389	-	2_E	no	197.395302209177	-3.88991061177395	0.000169968771777596	11488.9244146731	-5.63618920198088	0.00040471899483459	175.844642742414	-4.69556328166242	0.49449983354647	-9.49558111675515	2.18986506979297e-21	4.62061529726316e-20
92	dme-mir-932	dps-mir-932	NC_046681.1	14404825	14404942	+	4_B	no	9.3362605191931	1.21127137088902	0.47000409538692	230.569539141844	0.101544196915806	0.99673247124763	53.2598833639461	0.311314999884187	0.515751632908284	0.603614181750051	0.546100181901571	0.935726766837631
93	dme-mir-9381	dps_115	NC_046679.1	14684354	14684471	+	2_E	no	0	NA	NA	4.9478693174868	2.12784444878458	0.633301623193609	0.460774757136093	-1.68830821981498	3.87011583923105	-0.436242296083424	0.662660943406316	0.935726766837631
94	dme-mir-957	dps-mir-957	NC_046683.1	56464390	56464486	+	XR_D	no	163.429333895972	-0.123707105543231	0.842091078640242	1728.51313717356	0.580500491963216	0.904977063653595	36.2413934122527	0.294660303544283	0.621789141141956	0.473891041267012	0.635577608035218	0.935726766837631
95	dme-mir-958	dps-mir-958	NC_046683.1	56301301	56301400	+	XR_D	no	152.011825675932	-0.822411227271219	0.0214515155870675	9450.73416993883	-4.19584824423229	0.00338296851330476	1844.55436253342	-0.034775202801506	0.241761544241458	-0.14384091940931	0.885626089831602	0.978361806044335
96	dme-mir-959	dps-mir-959	NC_046681.1	6336564	6336675	+	4_B	no	1.57698280584325	3.98369113368004	0.131142093027647	775.513169763027	5.90245782985931	0.00878341407109584	20.9663304102327	3.8581888944549	0.971841863381884	3.96997602164297	7.18798652344116e-05	0.000583332752479263
97	dme-mir-960	dps-mir-2563	NC_046681.1	6336716	6336826	+	4_B	no	2.54765770222061	4.42452391263035	0.0706560449150577	61.2802588390869	7.74116867908574	0.000240145009028771	25.2138132924993	3.19744556504433	0.813197524102276	3.93194208082977	8.42623696762302e-05	0.000658494814877207
98	dme-mir-961	dps_3420	NC_046681.1	6336837	6336950	+	4_B	no	1.99187545187688	3.24329264342222	0.290520549609191	268.685840702024	7.19633009975959	0.00040471899483459	11.8111150238544	5.36344018177503	1.53046850131565	3.50444336303845	0.0004575628840923	0.00247553252675578
99	dme-mir-962	dps-mir-2509	NC_046681.1	6336958	6337057	+	4_B	no	1.37488016935462	3.68108701561238	0.171609520365388	179.05571117315	6.67237444872723	0.000240145009028771	8.13309862819662	2.26146839066536	1.10849583226887	2.04012349422783	0.041338027234644	0.160441822145532
100	dme-mir-964	dps-mir-964	NC_046681.1	6337672	6337789	+	4_B	no	15.6901514863009	7.02987844797202	0.000616883015697304	161.927624088872	2.37733236761799	0.322084742520116	43.3655426663611	2.87035855559184	0.666946720150062	4.30372992155358	1.67946380927309e-05	0.000154072549459401
101	dme-mir-965	dps-mir-965	NC_046681.1	10418871	10418961	-	4_B	no	1.46674738007211	-1.6278454781687	0.504701524712625	1100.85341852716	-5.93156184575275	0.00878341407109584	75.5213984752036	-0.72819658279947	0.451427712096013	-1.61309676674123	0.106723486210378	0.34119175136954
